id;fecha;resistivity-1;capitance-4;temperature;laminar_1H;laminar_1L;capitance-5;resistivity-3;capitance-1;resistivity-2;capitance-6;resistivity-4;resistivity-5;resistivity-6;capitance-2;capitance-3;turbulent_1H;turbulent_1L;turb_laminar_1H;turb_laminar_1L;flow_regimen;resistivity-2_1H;resistivity-2_1L;watercut_1H;watercut_1L;ph;dissolved-oxygen;tss-180;tss-90;oil-water;conductivity-AC;conductivity-DC;ph_1H;ph_1L;dissolved-oxygen_1H;dissolved-oxygen_1L;tss-180_1H;tss-180_1L;tss-90_1H;tss-90_1L;temperature_1H;temperature_1L;oil-water_1H;oil-water_1L;conductivity-AC_1H;conductivity-AC_1L;conductivity-DC_1H;conductivity-DC_1L;water-quality_1H;water-quality_1L;PH_1H;PH_1L;Conductivity-AC_1H;Conductivity-AC_1L
191;2020/01/16 18:52:04;;;;;;;16359;;;;16342;16377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;2020/01/17 16:41:37;16327;;;1;2386;;;;;;;;;;;0;9830;0;9830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;2020/01/17 16:41:55;16327;;;1;2386;;;;;;;;;;;0;9830;0;9830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;2020/01/17 16:45:59;16327;;;1;2386;;;;;;;;;;;0;9830;0;9830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;2020/01/17 16:46:53;16327;;;1;2386;;;;;;;;;;;0;9830;0;9830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;2020/01/17 16:48:27;16327;;;1;2386;;;;;;;;;;;0;9830;0;9830;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;2020/01/17 16:50:34;16327;;;1;2386;;;;16344;;;;;;;0;9830;0;9830;12;16344;0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;2020/01/17 16:51:39;16327;;;1;2386;;16358;;16344;;;;;;;0;9830;0;9830;12;16344;0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;2020/01/17 16:52:30;16327;;;1;2386;;16358;;16344;;;;;;;0;9830;0;9830;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;2020/01/17 17:00:31;;;;;;16341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;2020/01/17 17:15:20;16327;16329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;2020/01/17 17:15:53;16327;16329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;2020/01/17 17:17:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;2020/01/17 17:17:18;16327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;2020/01/17 17:17:28;16327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;2020/01/17 17:21:13;16327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
